
 vaadin-ordered-layout-flow         │ 25.2.7             │ maven 
 vaadin-popover-flow                │ 25.2.7             │ maven 
 vaadin-progress-bar-flow           │ 25.2.7             │ maven 
 vaadin-radio-button-flow           │ 25.2.7             │ maven 
 vaadin-renderer-flow               │ 25.2.7             │ maven 
 vaadin-select-flow                 │ 25.2.7             │ maven 
 vaadin-side-nav-flow               │ 25.2.7             │ maven 
 vaadin-slider-flow                 │ 25.2.7             │ maven 
 vaadin-split-layout-flow           │ 25.2.7             │ maven 
 vaadin-spring                      │ 25.2.8             │ maven 
 vaadin-spring-boot-starter         │ 25.2.7             │ maven 
 vaadin-tabs-flow                   │ 25.2.7             │ maven 
 vaadin-text-field-flow             │ 25.2.7             │ maven 
 vaadin-time-picker-flow            │ 25.2.7             │ maven 
 vaadin-upload-flow                 │ 25.2.7             │ maven 
 vaadin-virtual-list-flow           │ 25.2.7             │ maven 
 xmlbeans                           │ 5.3.0              │ maven 
 zlib                               │ 1.3.2-r0           │ apk   
